id_expediente,numero,fecha_ingreso,sumario,rol_claudia,rol_recalculado,autoría_confirmada,rol_consistente,cantidad_autores,autores,tipo_oficial,estado_actual,etapa_ciclo,ubicacion,giros,ultimo_movimiento,evidencia_sancion,fuentes_sancion,fuentes_captura,ficha_oficial_completa,url_expediente,es_832_2026
139803,472-D-2026,2026-03-02T14:09:46,INFORMES REFERIDOS A LA SITUACIÓN DE LAS OBRAS EN EJECUCIÓN Y A REALIZARSE SOBRE EL SISTEMA PÚBLICO DE SALUD.-,coautora,coautora,True,True,6,"BARROETAVEÑA, MATÍAS | CAPORICCIO, FRANCISCO | GEMINIANI, NOEMÍ | GONZÁLEZ, ANDREA MARIANA | NEGRI, CLAUDIA | PEÑAFORT, GRACIANA",RESOLUCION,archivado,archivado,ARCHIVO,SALUD,"{""fecha"": ""2026-07-29"", ""oficina"": ""ARCHIVO"", ""descripcion"": ""EN ARCHIVO. ESPERANDO INGRESO DE DATOS BANK (ESPERANDO RECEPCION)""}",True,ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones,seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139803,False
139771,440-D-2026,2026-03-02T12:58:31,MODIFÍCANSE LAS LEYES 5688 Y 1689. AGENCIA DE MONITOREO CIUDADANO.-,coautora,coautora,True,True,7,"CAPORICCIO, FRANCISCO | FREIRE, VICTORIA | MOCHI, FEDERICO | NEGRI, CLAUDIA | NEIRA, CLAUDIA | PEÑAFORT, GRACIANA | SALVATIERRA, ALEJANDRO",LEY,en_comision,en_comision,SEGURIDAD,"SEGURIDAD | LEGISLACION DEL TRABAJO Y POLÍTICAS DE EMPLEO | PRESUPUESTO, HACIENDA, ADMINISTRACIÓN FINANCIERA Y POLÍTICA TRIBUTARIA","{""fecha"": ""2026-03-11"", ""oficina"": ""SEGURIDAD"", ""descripcion"": ""EN COMISION""}",False,,seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139771,False
139769,455-D-2026,2026-03-02T12:54:59,RÉGIMEN DE PROTECCIÓN INTEGRAL Y ASISTENCIA SOCIO- SANITARIA PARA PERSONAS CON TUBERCULOSIS (TBC).-,autora,autora,True,True,9,"NEGRI, CLAUDIA | BIELLI, MARÍA | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GONZÁLEZ, ANDREA MARIANA | MOCHI, FEDERICO | NEIRA, CLAUDIA | SALVATIERRA, ALEJANDRO | VELÁZQUEZ, DELFINA",LEY,en_comision,en_comision,SALUD,"SALUD | PRESUPUESTO, HACIENDA, ADMINISTRACIÓN FINANCIERA Y POLÍTICA TRIBUTARIA","{""fecha"": ""2026-03-09"", ""oficina"": ""SALUD"", ""descripcion"": ""EN COMISION""}",False,,seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139769,False
139768,438-D-2026,2026-03-02T12:53:50,REPUDIO ANTE LA DECISIÓN DEL PODER EJECUTIVO NACIONAL DE POSTERGAR INDEFINIDAMENTE LA APLICACIÓN DE LA ACTUALIZACIÓN METODOLÓGICA DEL ÍNDICE DE PRECIOS AL CONSUMIDOR (IPC).-,coautora,coautora,True,True,8,"CAPORICCIO, FRANCISCO | GRILLO, ALEJANDRO OMAR | MOCHI, FEDERICO | NEGRI, CLAUDIA | NEIRA, CLAUDIA | ROSSEN, BÁRBARA | SALVATIERRA, ALEJANDRO | SANTORO, LEANDRO",DECLARACION,en_comision,en_comision,Asuntos Metropolitanos y Relaciones Interjurisdiccionales,Asuntos Metropolitanos y Relaciones Interjurisdiccionales,"{""fecha"": ""2026-03-10"", ""oficina"": ""Asuntos Metropolitanos y Relaciones Interjurisdiccionales"", ""descripcion"": ""EN COMISION""}",False,,seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139768,False
139766,436-D-2026,2026-03-02T12:51:47,CRÉASE EL PROGRAMA DE ATENCIÓN INTEGRAL DE LA MENOPAUSIA Y EL CLIMATERIO.-,autora,autora,True,True,9,"NEGRI, CLAUDIA | BIELLI, MARÍA | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GONZÁLEZ, ANDREA MARIANA | LA BLUNDA, ANDRÉS | NEIRA, CLAUDIA | ROSSEN, BÁRBARA | VELÁZQUEZ, DELFINA",LEY,con_dictamen,con_dictamen,"PRESUPUESTO, HACIENDA, ADMINISTRACIÓN FINANCIERA Y POLÍTICA TRIBUTARIA","SALUD | PRESUPUESTO, HACIENDA, ADMINISTRACIÓN FINANCIERA Y POLÍTICA TRIBUTARIA","{""fecha"": ""2026-07-16"", ""oficina"": ""PRESUPUESTO, HACIENDA, ADMINISTRACIÓN FINANCIERA Y POLÍTICA TRIBUTARIA"", ""descripcion"": ""EN COMISION CON DICTAMEN GENERADO (ESPERANDO RECEPCION)""}",False,,seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139766,False
139764,454-D-2026,2026-03-02T12:46:42,CRÉASE LA RED DE LECHE HUMANA.-,autora,autora,True,True,7,"NEGRI, CLAUDIA | BIELLI, MARÍA | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GONZÁLEZ, ANDREA MARIANA | NEIRA, CLAUDIA | ROSSEN, BÁRBARA",LEY,en_comision,en_comision,SALUD,"SALUD | PRESUPUESTO, HACIENDA, ADMINISTRACIÓN FINANCIERA Y POLÍTICA TRIBUTARIA","{""fecha"": ""2026-03-09"", ""oficina"": ""SALUD"", ""descripcion"": ""EN COMISION""}",False,,seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139764,False
139762,449-D-2026,2026-03-02T12:44:45,DECLÁRASE DE INTERÉS AMBIENTAL DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES LA LABOR REALIZADA POR LA “HUERTA URBANA AGROECOLÓGICA ‘ANITA BROCCOLI’”.-,autora,autora,True,True,6,"NEGRI, CLAUDIA | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GRILLO, ALEJANDRO OMAR | NEIRA, CLAUDIA | ROSSEN, BÁRBARA",DECLARACION,archivado,archivado,ARCHIVO,AMBIENTE,"{""fecha"": ""2026-07-28"", ""oficina"": ""ARCHIVO"", ""descripcion"": ""EN ARCHIVO. ESPERANDO INGRESO DE DATOS BANK (ESPERANDO RECEPCION)""}",True,ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones,seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139762,False
139759,435-D-2026,2026-03-02T12:33:09,MODIFÍCASE LA LEY 5622.-,autora,autora,True,True,5,"NEGRI, CLAUDIA | FERREÑO, CLAUDIO AMÉRICO | LA BLUNDA, ANDRÉS | MOCHI, FEDERICO | NEIRA, CLAUDIA",LEY,en_comision,en_comision,SALUD,"SALUD | PRESUPUESTO, HACIENDA, ADMINISTRACIÓN FINANCIERA Y POLÍTICA TRIBUTARIA","{""fecha"": ""2026-03-09"", ""oficina"": ""SALUD"", ""descripcion"": ""EN COMISION""}",False,,seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139759,False
139757,432-D-2026,2026-03-02T12:26:14,INFORMES EN RELACIÓN CON EL CIERRE DEL INSTITUTO FORMAR FUTURO.-,autora,autora,True,True,5,"NEGRI, CLAUDIA | CAPORICCIO, FRANCISCO | FERREÑO, CLAUDIO AMÉRICO | MOCHI, FEDERICO | PEÑAFORT, GRACIANA",RESOLUCION,sancionado,sancionado,MEP,"EDUCACIÓN, CIENCIA Y TECNOLOGÍA","{""fecha"": ""2026-09-02"", ""oficina"": ""MEP"", ""descripcion"": ""SANCIONADO. EN MEP ESPERANDO COMUNICACION CON EL PE U OTRAS ENTIDADES (ESPERANDO RECEPCION)""}",True,estado_actual | etapa_ciclo | ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones,seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139757,False
139756,430-D-2026,2026-03-02T12:24:35,"INFORMES RESPECTO DE LA SITUACIÓN DE NIÑAS, NIÑOS Y ADOLESCENTES QUE INGRESAN A HOSPITALES PÚBLICOS POR DISPOSICIÓN U OFICIO JUDICIAL DEL CONSEJO DE LOS DERECHOS DE NIÑAS, NIÑOS Y ADOLESCENTES.-",autora,autora,True,True,14,"NEGRI, CLAUDIA | BARROETAVEÑA, MATÍAS | CAPORICCIO, FRANCISCO | FERREÑO, CLAUDIO AMÉRICO | FREIRE, VICTORIA | GONZÁLEZ, ANDREA MARIANA | GRILLO, ALEJANDRO OMAR | MOCHI, FEDERICO | NEIRA, CLAUDIA | PEÑAFORT, GRACIANA | ROSSEN, BÁRBARA | SALVATIERRA, ALEJANDRO | SANTORO, LEANDRO | VELÁZQUEZ, DELFINA",RESOLUCION,archivado,archivado,ARCHIVO,"NIÑEZ, ADOLESCENCIA Y JUVENTUD","{""fecha"": ""2026-08-20"", ""oficina"": ""ARCHIVO"", ""descripcion"": ""EXPEDIENTE EN ARCHIVO CON DATOS BANK INGRESADOS""}",True,ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones | actividad_recinto,seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139756,False
139754,428-D-2026,2026-03-02T12:19:27,REPUDIO A LA POSTURA DE LA DELEGACIÓN DE NUESTRO PAÍS EN LA ÚLTIMA ASAMBLEA GENERAL DE LA ONU.-,autora,autora,True,True,11,"NEGRI, CLAUDIA | BARROETAVEÑA, MATÍAS | CAPORICCIO, FRANCISCO | FERREÑO, CLAUDIO AMÉRICO | GEMINIANI, NOEMÍ | GONZÁLEZ, ANDREA MARIANA | GRILLO, ALEJANDRO OMAR | NEIRA, CLAUDIA | ROSSEN, BÁRBARA | SANTORO, LEANDRO | VELÁZQUEZ, DELFINA",DECLARACION,en_comision,en_comision,Asuntos Metropolitanos y Relaciones Interjurisdiccionales,Asuntos Metropolitanos y Relaciones Interjurisdiccionales,"{""fecha"": ""2026-03-10"", ""oficina"": ""Asuntos Metropolitanos y Relaciones Interjurisdiccionales"", ""descripcion"": ""EN COMISION""}",False,,seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139754,False
139746,392-D-2026,2026-03-02T11:55:02,"INFORMES REFERIDOS AL PREDIO DE LA AV. CONGRESO 3817/81, DR. RÓMULO S. NAÓN 2960/80, ESTOMBA 2923/25/41 Y QUESADA 3810/34/50, DEL BARRIO DE COGHLAN, COMUNA 12.-",coautora,coautora,True,True,7,"FERREÑO, CLAUDIO AMÉRICO | CAPORICCIO, FRANCISCO | GRILLO, ALEJANDRO OMAR | IAÑEZ, BERENICE | NEGRI, CLAUDIA | ROSSEN, BÁRBARA | SALVATIERRA, ALEJANDRO",RESOLUCION,sancionado,sancionado,MEP,AMBIENTE,"{""fecha"": ""2026-09-02"", ""oficina"": ""MEP"", ""descripcion"": ""SANCIONADO. EN MEP ESPERANDO COMUNICACION CON EL PE U OTRAS ENTIDADES (ESPERANDO RECEPCION)""}",True,estado_actual | etapa_ciclo | ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones,seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139746,False
139740,386-D-2026,2026-03-02T11:48:25,"DENOMÍNASE ""PASEO DIEGO ARMANDO MARADONA"" A UN TRAMO DE LA AVENIDA BOYACÁ Y SU CONTINUIDAD CON LA CALLE PUNTA ARENAS.-",coautora,coautora,True,True,7,"FERREÑO, CLAUDIO AMÉRICO | BIELLI, MARÍA | IAÑEZ, BERENICE | LA BLUNDA, ANDRÉS | NEGRI, CLAUDIA | SALVATIERRA, ALEJANDRO | VELÁZQUEZ, DELFINA",LEY,en_comision,en_comision,CULTURA,CULTURA,"{""fecha"": ""2026-03-05"", ""oficina"": ""CULTURA"", ""descripcion"": ""EN COMISION""}",False,,seguimiento_institucional,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139740,False
139735,390-D-2026,2026-03-02T11:40:36,INFORMES REFERIDOS AL CONVENIO DE PERMISO DE USO PRECARIO Y ONEROSO OTORGADO A LA EMPRESA TRIXMA S.R.L. SOBRE UN SECTOR DEL POLIDEPORTIVO SANTOJANNI.-,coautora,coautora,True,True,6,"FERREÑO, CLAUDIO AMÉRICO | IAÑEZ, BERENICE | LA BLUNDA, ANDRÉS | NEGRI, CLAUDIA | NEIRA, CLAUDIA | ROSSEN, BÁRBARA",RESOLUCION,sancionado,sancionado,MEP,TURISMO Y DEPORTES,"{""fecha"": ""2026-09-02"", ""oficina"": ""MEP"", ""descripcion"": ""SANCIONADO. EN MEP ESPERANDO COMUNICACION CON EL PE U OTRAS ENTIDADES (ESPERANDO RECEPCION)""}",True,estado_actual | etapa_ciclo | ficha_oficial.hitos.tuvo_sancion | ficha_oficial.sanciones,seguimiento_institucional | recinto,True,https://parlamentaria.legislatura.gob.ar/pages/expediente.aspx?id=139735,False
