long,lat,calle_nombre,calle_altura,direccion,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4092826031958,-34.5790542713786,"SCALABRINI ORTIZ, RAUL",3295,"SCALABRINI ORTIZ, RAUL 3295",Palermo,Comuna 14,1425,
-58.4156375689492,-34.5850191887704,"SCALABRINI ORTIZ, RAUL",2517,"SCALABRINI ORTIZ, RAUL 2517",Palermo,Comuna 14,1425,
-58.4615924323928,-34.6063532973617,"SEGUI, F. J., ALTE.",1731,"SEGUI, F. J., ALTE. 1731",Villa Gral. Mitre,Comuna 11,1416,
-58.4627506774922,-34.6030346586876,"SEGUI, F. J., ALTE.",2017,"SEGUI, F. J., ALTE. 2017",Paternal,Comuna 15,1416,
-58.4628118038252,-34.6032318419943,"SEGUI, F. J., ALTE.",2005,"SEGUI, F. J., ALTE. 2005",Paternal,Comuna 15,1416,
-58.4627894132973,-34.6031596157316,"SEGUI, F. J., ALTE.",2011,"SEGUI, F. J., ALTE. 2011",Paternal,Comuna 15,1416,
-58.4079479788862,-34.5794057216702,"SEGUI, JUAN FRANCISCO",3515,"SEGUI, JUAN FRANCISCO 3515",Palermo,Comuna 14,1425,
-58.4094872164106,-34.5787923356452,"SEGUI, JUAN FRANCISCO",3609,"SEGUI, JUAN FRANCISCO 3609",Palermo,Comuna 14,1425,
-58.4910544846749,-34.6271094803226,SEGUROLA AV.,900,SEGUROLA AV. 900,Velez Sarsfield,Comuna 10,1407,
-58.5022793552907,-34.6181884631758,SEGUROLA AV.,1986,SEGUROLA AV. 1986,Monte Castro,Comuna 10,1407,
-58.490079500861,-34.6278808606195,SEGUROLA AV.,790,SEGUROLA AV. 790,Velez Sarsfield,Comuna 10,1407,
-58.434072162354,-34.5913190419173,SERRANO,1217,SERRANO 1217,Palermo,Comuna 14,1414,
-58.4331181286285,-34.5906969845826,SERRANO,1321,SERRANO 1321,Palermo,Comuna 14,1414,
-58.4318945334544,-34.589896585033,SERRANO,1417,SERRANO 1417,Palermo,Comuna 14,1414,
-58.4315708757945,-34.5895652950719,SERRANO,1466,SERRANO 1466,Palermo,Comuna 14,1414,
-58.4309776708763,-34.5893011083133,SERRANO,1509,SERRANO 1509,Palermo,Comuna 14,1414,
-58.4455611496293,-34.5986970694673,SERRANO,206,SERRANO 206,Villa Crespo,Comuna 15,1414,
-58.4423126300197,-34.5962644432911,SERRANO,511,SERRANO 511,Villa Crespo,Comuna 15,1414,
-58.4928308914344,-34.5973911021397,SIMBRON,2902,SIMBRON 2902,Villa Del Parque,Comuna 11,1417,
-58.5221767061834,-34.6165342099517,SIMBRON,5317,SIMBRON 5317,Villa Real,Comuna 10,1408,
-58.4991910740338,-34.5957452349152,"SOLANO LOPEZ, F., MARISCAL",3184,"SOLANO LOPEZ, F., MARISCAL 3184",Agronomia,Comuna 15,1419,
-58.4998470598692,-34.5961639089594,"SOLANO LOPEZ, F., MARISCAL",3210,"SOLANO LOPEZ, F., MARISCAL 3210",Villa Devoto,Comuna 11,1419,
-58.5000146322723,-34.5962680232363,"SOLANO LOPEZ, F., MARISCAL",3238,"SOLANO LOPEZ, F., MARISCAL 3238",Villa Devoto,Comuna 11,1419,
-58.4372009327368,-34.5659056106559,SOLDADO DE LA INDEPENDENCIA,1009,SOLDADO DE LA INDEPENDENCIA 1009,Palermo,Comuna 14,1426,
-58.4387260568816,-34.5649704238979,SOLDADO DE LA INDEPENDENCIA,1127,SOLDADO DE LA INDEPENDENCIA 1127,Palermo,Comuna 14,1426,
-58.4398602742642,-34.5644041983543,SOLDADO DE LA INDEPENDENCIA,1216,SOLDADO DE LA INDEPENDENCIA 1216,Palermo,Comuna 14,1426,
