WKT;id_usig;direccion;categoria;tipo;nombre_org;nombre;destinatar;telefono;mail;horario;link_web;direccion_;Barrio;Comuna;;;;;;;;;;;
;;California 3100.;Establecimiento;Jardín Comunitario;DGFSCiv;CONTARTE;La infancia y la familia en situacion de pobreza;1163987144;;;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/fortalecimientodelasociedadcivil/gruposcomunitarios;California 3100.;LA BOCA;4;;;;;;;;;;;
;;Villariño 2555.;Establecimiento;Jardín Comunitario;DGFSCiv;SANTA MARTA;La infancia y la familia en situacion de pobreza;1166190149/48282858/1125609480;;;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/fortalecimientodelasociedadcivil/gruposcomunitarios;Villariño 2555.;BARRACAS;4;;;;;;;;;;;
;;M104, C25 (o 167 Numeración Anterior) 400 Mts Deck Ing. Calle Salguero.;Establecimiento;Jardín Comunitario;DGFSCiv;JARDÍN SUEÑOS BAJITOS (DETRÁS DE TODO) ;La infancia y la familia en situacion de pobreza;1127837816;;;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/fortalecimientodelasociedadcivil/gruposcomunitarios;M104, C25 (o 167 Numeración Anterior) 400 Mts Deck Ing. Calle Salguero.;RETIRO;1;;;;;;;;;;;
;;Masantonio 3012/34;Establecimiento;Jardín Comunitario;DGFSCiv;JARDÍN MATERNAL CURA BROCHERO;La infancia y la familia en situacion de pobreza;1162840478/ 1134900116;;;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/fortalecimientodelasociedadcivil/gruposcomunitarios;Masantonio 3012/34;POMPEYA;4;;;;;;;;;;;
;;Osvaldo Cruz 3593, M21, C52.;Establecimiento;Jardín Comunitario;DGFSCiv;JARDÍN CONSTRUYENDO NIÑOS FELICES;La infancia y la familia en situacion de pobreza;1153786958;;;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/fortalecimientodelasociedadcivil/gruposcomunitarios;Osvaldo Cruz 3593, M21, C52.;BARRACAS;1;;;;;;;;;;;
;;M10, C168, Playón Este, Barrio 31 bis.;Establecimiento;Jardín Comunitario;DGFSCiv;JARDÍN RAYITOS DE SOL;La infancia y la familia en situacion de pobreza;1124536731;;;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/fortalecimientodelasociedadcivil/gruposcomunitarios;M10, C168, Playón Este, Barrio 31 bis.;RETIRO;1;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
