long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,41498787;-34,60641613;467;ESC. PRIMARIA COMUN NÂ° 22 CARLOS JAVIER BENIELLI;2013;4U;1;VIA PUBLICA;ESCUELAS;SANCHEZ DE BUSTAMANTE;260;;Almagro;Comuna 5;1173;C1173ABD
-58,46743085;-34,66072378;468;ESCUELA NORMAL SUPERIOR NÂ°3 ( ANEXO );2013;4U;1;VIA PUBLICA;ESCUELAS;SARAZA;4202;;Villa Lugano;Comuna 8;1439;C1439AOB
-58,46744899;-34,6607412;469;ESCUELA NORMAL SUPERIOR N 3 (ANEXO);2013;4U;1;VIA PUBLICA;ESCUELAS;SARAZA;4204;;Villa Lugano;Comuna 8;1439;C1439AOB
-58,46438853;-34,68521851;470;ESC. DE BELLAS ARTES LOLA MORA;2013;4U;1;INTERIOR;ESCUELAS;SOLDADO DE LA FRONTERA AV.;5155;;Villa Lugano;Comuna 8;1439;C1439FPE
-58,42253833;-34,6298696;471;ESC. PRIMARIA COMUN NÂ° 25 PAULA ALBARRACIN DE SARMIENTO;2013;4U;1;VIA PUBLICA;ESCUELAS;TARIJA;4136;;Boedo;Comuna 5;1253;C1253ACR
-58,42039486;-34,65470038;472;ESC. PRIMARIA COMUN NÂ° 02 DR. GENARO SISTO;2013;4U;1;VIA PUBLICA;ESCUELAS;TILCARA;3365;;Nueva Pompeya;Comuna 4;1437;C1437CYK
-58,48682303;-34,55279789;473;ESC. DE EDUCACION MEDIA NÂ° 05/15Â°;2013;4U;1;INTERIOR;ESCUELAS;TRONADOR;4134;;Saavedra;Comuna 12;1430;C1430DMZ
-58,4901829;-34,56177999;474;ESC. DE COMERCIO NÂ° 15 DRA. CECILIA GRIERSON;2013;4U;1;INTERIOR;ESCUELAS;VALDENEGRO;3523;;Saavedra;Comuna 12;1431;C1431GAS
-58,37928685;-34,64340329;475;ESC. TECNICA NÂ° 10 FRAY LUIS BELTRAN;2013;4U;1;INTERIOR;ESCUELAS;VIEYTES;942;;Barracas;Comuna 4;1275;C1275AGD
-58,371501;-34,63481685;476;ESC. DE BELLAS ARTES MANUEL BELGRANO;2013;4U;1;INTERIOR;ESCUELAS;VILLAFAÃ‘E, WENCESLAO;1342;;Barracas;Comuna 4;;
