id,nombre,dia,horario,numero,ubicacion,barrio,comuna,productos,calle,altura,calle2,direccion,observacio
103,FIAB 20,MARTES,de 8:00 a 14:00hs,20,Sarandí 1400 (entre Constitución y Pavón),San Cristobal,3,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",SARANDI,1400,NA,SARANDI 1400,NA
104,FIAB 20,MIERCOLES,de 8:00 a 14:00hs,20,Predio Villa Olimpica,Villa Soldati,8,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Camet,NA,Escalada,"CAMET, FRANCISCO y ESCALADA AV., CABA","Espacio verde comprendido entre Francisco Camet, Alberto Demiddi, Av. Escala y Blvd. Olípico José Benjamín Zubiar"
105,FIAB 20,JUEVES,de 8:00 a 14:00hs,20,CRISOSTOMO ALVAREZ Y BALBASTRO,Flores,7,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",SAN PEDRITO,1400,NA,SAN PEDRITO 1400,NA
106,FIAB 20,VIERNES,de 8:00 a 14:00hs,20,Av Pichincha 1700 entre Brasil e Inclán,Parque Patricios,4,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Pichincha,1700,NA,PICHINCHA AV. 1700,Plaza Vuelta de Obligado
107,FIAB 20,SABADO,de 8:00 a 14:00hs,20,Castillo 700 entre Gurruchaga y Serrano,Villa Crespo,15,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",CASTILLO,700,NA,CASTILLO 700,NA
108,FIAB 20,DOMINGO,de 8:00 a 14:00hs,20,Yatay al 800 - entre Humahuaca y Av. Corrientes,Almagro,5,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambres y lácteos",Yatay,NA,Corrientes,YATAY y CORRIENTES AV.,NA
109,FIAB 21,MARTES,de 8:00 a 14:00hs,21,Mercedes 1800,Monte Castro,10,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambre y lácteos",Mercedes,1800,NA,MERCEDES 1800,Plaza Montecastro
111,FIAB 21,JUEVES,de 8:00 a 14:00hs,21,Bolívar entre Av. San Juan y Humberto 1°,San Telmo,1,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambre y lácteos",Bolivar,NA,San Juan av.,BOLIVAR y SAN JUAN AV.,NA
112,FIAB 21,VIERNES,de 8:00 a 14:00hs,21,Llavallol entre Franco y Obispo San Alberto,Villa Devoto,11,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambre y lácteos",LLAVALLOL,5200,NA,LLAVALLOL 5200,NA
113,FIAB 21,SABADO,de 8:00 a 14:00hs,21,Boulogne Sur Mer 200 - entre Tte. Gral. Juan Domingo Perón y Sarmiento,Balvanera,3,"Frutihorticolas, pescadería, especies y legumbres, granja y carnes, fiambre y lácteos",Boulogne Sur mer,NA,Perón,"BOULOGNE SUR MER y PERON, JUAN DOMINGO, TTE. GENERAL",Dentro del Predio Once
