id,nombre,dia,horario,numero,ubicacion,barrio,comuna,productos,calle,altura,calle2,direccion,observacio
231,fiab 5,DOMINGO,de 8:00 a 14:00hs,5,Seguí entre Neuquén y Av. Gaona – Plaza Irlanda,Caballito,6,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos",Segui,NA,Neuquen,"SEGUI, F. J., ALTE. y NEUQUEN, CABA",También Sabe la Tierra
233,FIAB 32,DOMINGO,de 16:00 a 23:00hs,32,Av. Rivadavia y Beauchef,Caballito,6,NA,Av. Rivadavia,NA,Beauchef,"RIVADAVIA AV. y BEAUCHEF, CABA",Parque Rivadavia (camino central) - BA Market
234,FIAB 31,DOMINGO,de 15:00 a 20:00hs,31,Ricardo Gutiérrez entre Helguera y Pedro Lozano,Villa Del Parque,11,NA,Ricardo Gutiérrez,NA,Helguera,"GUTIERREZ, RICARDO y HELGUERA, CABA",Plazoleta Jorge Williams
238,FIAB 38,VIERNES,de 16:00 a 21:00hs,38,Av. Rivadavia 4900,Caballito,6,NA,Av. Rivadavia,4900,NA,"RIVADAVIA AV. 4900, CABA",Parque Rivadavia. Exclusiva Sabe la Tierra
239,FIAB 30,VIERNES,de 12:00 a 20:00hs,30,Av. Rivadavia 4900,Caballito,6,NA,Av. Rivadavia,4900,NA,"RIVADAVIA AV. 4900, CABA",Parque Rivadavia - Exclusiva Sabe la Tierra
242,FIAB 1,VIERNES,de 8:00 a 14:00hs,1,Jerónimo Salguero entre Las Heras y Cabello,Palermo,14,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",Salguero,NA,Las Heras,"SALGUERO, JERONIMO y LAS HERAS GENERAL AV., CABA",NA
243,FIAB 1,DOMINGO,de 8:00 a 14:00hs,1,Jerónimo Salguero entre Las Heras y Cabello,Palermo,14,"Frutihorticolas, pescadería, panadería, especies y legumbres, granja y carnes, fiambres y lácteos, limpieza",Salguero,NA,Las Heras,"SALGUERO, JERONIMO y LAS HERAS GENERAL AV., CABA",NA
250,FIAB 34,SABADO,de 10:00 a 19:00hs,34,Brasil y Av. Paseo Colón,San Telmo,1,NA,Brasil,NA,Av. Paseo Colón,BRASIL AV. y PASEO COLON AV.,Parque Lezama - BA Market.
251,FIAB 34,VIERNES,de 10:00 a 19:00hs,34,Av. Díaz Vélez 4900,Caballito,6,NA,Av. Díaz Vélez,4900,NA,DIAZ VELEZ AV. 4900,Parque Centenario - BA Market
252,FIAB 30,JUEVES,de 10:00 a 19:00hs,30,Virrey Cevallos e Hipólito Yrigoyen,Monserrat,1,NA,Virrey Cevallos,NA,Hipólito Yrigoyen,"CEVALLOS, VIRREY y YRIGOYEN, HIPOLITO",Sabe La Tierra - Plaza Congreso
253,FIAB 36,SABADO,13:00 a 20:00 hs.,36,Enrique Martínez y Concepción Arenal,Colegiales,13,NA,Enrique Martínez,NA,Concepción Arenal,"MARTINEZ, ENRIQUE, GRAL. y ARENAL, CONCEPCION",Mercado de las Pulgas - Feria Vegana
254,FIAB 34,DOMINGO,de 10:00 a 19:00hs,34,Brasil y Av. Paseo Colón,San Telmo,1,NA,Brasil,NA,Av. Paseo Colón,BRASIL AV. y PASEO COLON AV.,Parque Lezama - BA Market
