id,idecaba,nombre,linea,ramal,barrio,comuna,localidad,partido,geometry
43,43,Villa Soldati,"Belgrano Sur , F.C.G.B.",Buenos Aires - Marinos del Belgrano,Villa Soldati,Comuna 8,,,POINT (-58.44093425553207 -34.66223221330092)
44,219,Abbott,"Roca , F.C.G.R.",,,,,,POINT (-58.80279356777368 -35.28129500942761)
45,251,Acassuso,"Mitre , F.C.G.B.M.",,,,Acassuso,Acassuso,POINT (-58.50402175599086 -34.47984466239989)
46,36,Adolfo Sourdeaux,"Belgrano Norte , F.C.G.B.",,,,Ingeniero Adolfo Sourdeaux,Ingeniero Adolfo Sourdeaux,POINT (-58.666462708792075 -34.50299905585748)
47,180,Adrogué,"Roca , F.C.G.R.",,,,Adrogué,Adrogué,POINT (-58.39424149191243 -34.797817126201885)
48,2,Agustín Ferrari,"Sarmiento , F.C.D.F.S.",,,,Mariano Acosta,Mariano Acosta,POINT (-58.77939355605926 -34.706063889415944)
49,128,Aldo Bonzi,"Belgrano Sur , F.C.G.B.",,,,Aldo Bonzi,Aldo Bonzi,POINT (-58.51437251229124 -34.71075962677399)
50,217,Alejandro Korn,"Roca , F.C.G.R.",,,,San Vicente,San Vicente,POINT (-58.37382936972327 -34.98038757794364)
51,10,Alejandro Petión,"Roca , F.C.G.R.",,,,Cañuelas,Cañuelas,POINT (-58.67540440999109 -34.97809059966395)
52,218,Altamirano,"Roca , F.C.G.R.",,,,,,POINT (-58.15115862439983 -35.36110588282554)
53,27,Altimpergher,"Urquiza , F.C.G.U.",,,,José C. Paz,José C. Paz,POINT (-58.75334343041436 -34.52014090226427)
54,22,"Apeadero ""Dr. Ricardo Levene""","Roca , F.C.G.R.",,,,Cañuelas,Cañuelas,POINT (-58.72380447122397 -35.02165663458425)
55,33,Apeadero Kloosterman,"Roca , F.C.G.R.",,,,Cañuelas,Cañuelas,POINT (-58.68970805830323 -34.98636599610312)
56,242,Aristóbulo del Valle,"Belgrano Norte , F.C.G.B.",,,,Florida,Florida,POINT (-58.47816624531613 -34.537683861695804)
57,187,Av. Maipú,"Tren De La Costa , T.d.l.C.",,,,Olivos,Olivos,POINT (-58.48828237082996 -34.51398192040446)
58,288,Bancalari,"Mitre , F.C.G.B.M.",,,,Victoria,Victoria,POINT (-58.602882693124656 -34.47970271863558)
59,19,Banfield,"Roca , F.C.G.R.",,,,Banfield,Banfield,POINT (-58.395358835796934 -34.7435397794875)
60,284,Bartolomé Mitre,"Mitre , F.C.G.B.M.",,,,Olivos,Olivos,POINT (-58.489224078175845 -34.515019605006366)
61,250,Beccar,"Mitre , F.C.G.B.M.",,,,Beccar,Beccar,POINT (-58.52668318737865 -34.46065439501875)
62,56,Bella Vista,"San Martin , F.C.G.S.M.",,,,Bella Vista,Bella Vista,POINT (-58.68466089946236 -34.56379976578522)
63,291,Benavídez,"Mitre , F.C.G.B.M.",,,,Benavídez,Benavídez,POINT (-58.684611319586004 -34.409277469989114)
64,157,Berazategui,"Roca , F.C.G.R.",,,,Berazategui,Berazategui,POINT (-58.20842865064916 -34.76413104742798)
65,158,Bernal,"Roca , F.C.G.R.",,,,Bernal,Bernal,POINT (-58.28048148637693 -34.70932981028496)
66,213,Borges,"Tren De La Costa , T.d.l.C.",,,,Olivos,Olivos,POINT (-58.48471321009081 -34.50850154162181)
