id,idecaba,nombre,linea,ramal,barrio,comuna,localidad,partido,geometry
198,196,Marinos del Crucero General Belgrano,"Belgrano Sur , F.C.G.B.",,,,Pontevedra,Pontevedra,POINT (-58.730865581537984 -34.708796668771)
199,90,Martín Coronado,"Urquiza , F.C.G.U.",,,,Martín Coronado,Martín Coronado,POINT (-58.590541578305256 -34.58899602300308)
200,260,Martínez,"Mitre , F.C.G.B.M.",,,,Martínez,Martínez,POINT (-58.49680149297001 -34.488317303928895)
201,295,Matheu,"Mitre , F.C.G.B.M.",,,,Matheu,Matheu,POINT (-58.82965679220166 -34.382859426500744)
202,224,Máximo Paz,"Roca , F.C.G.R.",,,,Cañuelas,Cañuelas,POINT (-58.620604386470575 -34.93639559781667)
203,185,Merlo,"Sarmiento , F.C.D.F.S.",,,,Merlo,Merlo,POINT (-58.727748937228334 -34.664386250492235)
204,133,Merlo Gómez,"Belgrano Sur , F.C.G.B.",,,,Castelar,Castelar,POINT (-58.6476064835646 -34.69703326001386)
205,274,Miguelete,"Mitre , F.C.G.B.M.",,,,General San Martín,General San Martín,POINT (-58.517007632920176 -34.5810941387932)
206,179,Monte Grande,"Roca , F.C.G.R.",,,,Monte Grande,Monte Grande,POINT (-58.46977302737916 -34.814367117051454)
207,108,Moreno,"Sarmiento , F.C.D.F.S.",,,,Mariano Moreno,Mariano Moreno,POINT (-58.78975351283443 -34.65051085559178)
208,109,Morón,"Sarmiento , F.C.D.F.S.",,,,Morón,Morón,POINT (-58.61968963454579 -34.64826567540001)
209,45,Munro,"Belgrano Norte , F.C.G.B.",,,,Munro,Munro,POINT (-58.52376942129638 -34.53171555752562)
210,65,Muñiz,"San Martin , F.C.G.S.M.",,,,Muñiz,Muñiz,POINT (-58.703419054196175 -34.55129612739897)
211,262,Olivos,"Mitre , F.C.G.B.M.",,,,Olivos,Olivos,POINT (-58.480602292624376 -34.507825626094395)
212,46,Pablo Nogués,"Belgrano Norte , F.C.G.B.",,,,Pablo Nogués,Pablo Nogués,POINT (-58.70639238179603 -34.49372264034197)
213,91,Pablo Podestá,"Urquiza , F.C.G.U.",,,,Pablo Podestá,Pablo Podestá,POINT (-58.60798664737696 -34.5883511080569)
214,47,Padilla,"Belgrano Norte , F.C.G.B.",,,,Villa Martelli,Villa Martelli,POINT (-58.50076270664791 -34.54340977591915)
215,202,Parada Arquitectura,"Roca , F.C.G.R.",,,,La Plata,La Plata,POINT (-57.94251736298898 -34.90471581012134)
216,205,Parada Diagonal 73,"Roca , F.C.G.R.",,,,La Plata,La Plata,POINT (-57.91917038298201 -34.92010173014934)
217,203,Parada Informática,"Roca , F.C.G.R.",,,,La Plata,La Plata,POINT (-57.936032877259635 -34.90324000946101)
218,7,Parada Medicina,"Roca , F.C.G.R.",,,,La Plata,La Plata,POINT (-57.927893821630285 -34.90900200910375)
219,8,Parada Periodismo,"Roca , F.C.G.R.",,,,La Plata,La Plata,POINT (-57.924305849557 -34.91216125406347)
220,204,Parada Policlínico / 1 y 72,"Roca , F.C.G.R.",,,,Villa Elvira,Villa Elvira,POINT (-57.92120575599068 -34.92527822247752)
221,110,Paso del Rey,"Sarmiento , F.C.D.F.S.",,,,Paso del Rey,Paso del Rey,POINT (-58.76209908834553 -34.65823606186504)
222,214,Pavón,"Urquiza , F.C.G.U.",,,,,,POINT (-59.04004393170016 -34.380490118741356)
223,186,Pereyra,"Roca , F.C.G.R.",,,,Pereyra,Pereyra,POINT (-58.0946450199778 -34.836569368871736)
224,67,Pilar (San Martín),"San Martin , F.C.G.S.M.",,,,Pilar,Pilar,POINT (-58.90821544071775 -34.46866149385122)
225,201,Pilar (Urquiza),"Urquiza , F.C.G.U.",,,,Pilar,Pilar,POINT (-58.91657748345336 -34.46454548861323)
226,5,Piñero,"Urquiza , F.C.G.U.",,,,José C. Paz,José C. Paz,POINT (-58.77066073779202 -34.51532269878219)
227,173,Plátanos,"Roca , F.C.G.R.",,,,Plátanos,Plátanos,POINT (-58.170828121461525 -34.782313552246194)
228,68,Presidente Derqui,"San Martin , F.C.G.S.M.",,,,Presidente Derqui,Presidente Derqui,POINT (-58.83845025443712 -34.490994938693746)
229,143,Puente Alsina,"Belgrano Sur , F.C.G.B.",,,,Valentín Alsina,Valentín Alsina,POINT (-58.41563745381099 -34.66113530213243)
230,182,Punta Chica,"Tren De La Costa , T.d.l.C.",,,,Beccar,Beccar,POINT (-58.52384768491807 -34.45050524283761)
231,140,Querandí,"Belgrano Sur , F.C.G.B.",,,,Ciudad Evita,Ciudad Evita,POINT (-58.530653710065906 -34.72235677559538)
232,161,Quilmes,"Roca , F.C.G.R.",,,,Quilmes,Quilmes,POINT (-58.2605721534603 -34.72480576780309)
233,156,Rafael Calzada,"Roca , F.C.G.R.",,,,Rafael Calzada,Rafael Calzada,POINT (-58.359113629002906 -34.79669596446354)
234,134,Rafael Castillo,"Belgrano Sur , F.C.G.B.",,,,Rafael Castillo,Rafael Castillo,POINT (-58.62631413891518 -34.699699169316574)
235,105,Ramos Mejía,"Sarmiento , F.C.D.F.S.",,,,Ramos Mejia,Ramos Mejia,POINT (-58.56425150591835 -34.64048082805645)
236,13,Ranelagh,"Roca , F.C.G.R.",,,,Ranelagh,Ranelagh,POINT (-58.2032297480227 -34.7893663334492)
237,146,Remedios de Escalada,"Roca , F.C.G.R.",,,,Remedios de Escalada,Remedios de Escalada,POINT (-58.39360401078491 -34.72705665369981)
238,174,Ringuelet,"Roca , F.C.G.R.",,,,Manuel B. Gonnet,Manuel B. Gonnet,POINT (-57.99647581871378 -34.8815479443354)
239,255,Río Luján,"Mitre , F.C.G.B.M.",,,,,,POINT (-58.89022929199469 -34.27810739924278)
240,93,Rubén Darío,"Urquiza , F.C.G.U.",,,,Hurlingham,Hurlingham,POINT (-58.62984433370274 -34.58754125174666)
241,26,Rufino de Elizalde,"Roca , F.C.G.R.",,,,Altos de San Lorenzo,Altos de San Lorenzo,POINT (-57.943912603515884 -34.957464226029714)
242,70,Sáenz Peña,"San Martin , F.C.G.S.M.",,,,Villa Raffo,Villa Raffo,POINT (-58.527882915278774 -34.60317028957033)
243,277,San Andrés,"Mitre , F.C.G.B.M.",,,,General San Martín,General San Martín,POINT (-58.54059444105298 -34.56361665300118)
244,111,San Antonio de Padua,"Sarmiento , F.C.D.F.S.",,,,San Antonio de Padua,San Antonio de Padua,POINT (-58.69869681639339 -34.665468405041864)
245,253,San Fernando C,"Mitre , F.C.G.B.M.",,,,San Fernando,San Fernando,POINT (-58.5587915652762 -34.44421527256488)
246,226,San Fernando R,"Tren De La Costa , T.d.l.C.",,,,San Fernando,San Fernando,POINT (-58.55395516874744 -34.437541578676885)
247,264,San Isidro,"Mitre , F.C.G.B.M.",,,,San Isidro,San Isidro,POINT (-58.51357494326025 -34.471963510899464)
248,184,San Isidro R,"Tren De La Costa , T.d.l.C.",,,,San Isidro,San Isidro,POINT (-58.50847087636146 -34.46531574998841)
249,193,San Justo,"Roca , F.C.G.R.",,,,San Justo,San Justo,POINT (-58.55580981076053 -34.673835573096774)
250,278,San Martín,"Mitre , F.C.G.B.M.",,,,General San Martín,General San Martín,POINT (-58.53157906656693 -34.573714988569726)
251,21,San Miguel,"San Martin , F.C.G.S.M.",,,,San Miguel,San Miguel,POINT (-58.71258708130158 -34.544552541379446)
252,130,Sánchez de Mendeville,"Belgrano Sur , F.C.G.B.",,,,Aldo Bonzi,Aldo Bonzi,POINT (-58.5238654357565 -34.71246140229767)
253,17,Santa Catalina,"Roca , F.C.G.R.",,,,Llavallol,Llavallol,POINT (-58.43738013722768 -34.7803571523533)
254,168,Santa Sofía,"Roca , F.C.G.R.",,,,Bosques,Bosques,POINT (-58.21300039775061 -34.8251222562673)
255,74,Santos Lugares,"San Martin , F.C.G.S.M.",,,,Santos Lugares,Santos Lugares,POINT (-58.54097594100011 -34.60369485523194)
256,162,Sarandí,"Roca , F.C.G.R.",,,,Sarandí,Sarandí,POINT (-58.34513866506885 -34.678891688735824)
257,94,Sargento Barrufaldi,"Urquiza , F.C.G.U.",,,,Campo de Mayo,Campo de Mayo,POINT (-58.660227437790944 -34.56242907475212)
258,95,Sargento Cabral,"Urquiza , F.C.G.U.",,,,Campo de Mayo,Campo de Mayo,POINT (-58.69492236222669 -34.537206321549675)
259,69,Sol y Verde,"San Martin , F.C.G.S.M.",,,,José C. Paz,José C. Paz,POINT (-58.79766332658582 -34.50400264256276)
260,163,Sourigues,"Roca , F.C.G.R.",,,,Sourigues,Sourigues,POINT (-58.212756329812045 -34.8065615485445)
261,247,Speratti,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-58.9977262793939 -34.999241033381985)
262,12,Sucre,"San Martin , F.C.G.S.M.",,,,,,POINT (-59.11135929484403 -34.506306744829594)
263,125,Tapiales,"Belgrano Sur , F.C.G.B.",,,,Aldo Bonzi,Aldo Bonzi,POINT (-58.51157373120266 -34.70248805516488)
264,147,Temperley,"Roca , F.C.G.R.",,,,Temperley,Temperley,POINT (-58.39652973201855 -34.77589635726653)
265,96,Teniente Agneta,"Urquiza , F.C.G.U.",,,,Campo de Mayo,Campo de Mayo,POINT (-58.67877445639079 -34.548860475933694)
266,28,Teniente General Pablo Ricchieri,"Urquiza , F.C.G.U.",,,,Bella Vista,Bella Vista,POINT (-58.691368735796495 -34.56125525723323)
267,50,Tierras Altas,"Belgrano Norte , F.C.G.B.",,,,Tierras Altas,Tierras Altas,POINT (-58.73944360354839 -34.47898927967807)
268,300,Tigre,"Mitre , F.C.G.B.M.",,,,Tigre,Tigre,POINT (-58.58167967793535 -34.42359703099207)
269,175,Tolosa,"Roca , F.C.G.R.",,,,Tolosa,Tolosa,POINT (-57.968191669242955 -34.89091073973111)
270,25,Toro,"Urquiza , F.C.G.U.",,,,Presidente Derqui,Presidente Derqui,POINT (-58.844471987875984 -34.494717338974674)
271,31,Torres,"Urquiza , F.C.G.U.",,,,,,POINT (-59.12903240933492 -34.43278799835511)
272,51,Tortuguitas,"Belgrano Norte , F.C.G.B.",,,,Tortuguitas,Tortuguitas,POINT (-58.757934699971955 -34.47072834567622)
273,223,Tristán Suárez,"Roca , F.C.G.R.",,,,Tristán Suárez,Tristán Suárez,POINT (-58.56790600782278 -34.889400931216045)
274,97,Tropezón,"Urquiza , F.C.G.U.",,,,Caseros,Caseros,POINT (-58.559267812637216 -34.591920173150584)
275,148,Turdera,"Roca , F.C.G.R.",,,,Turdera,Turdera,POINT (-58.40781609512419 -34.79508491911549)
276,236,Unión Ferroviaria,"Roca , F.C.G.R.",,,,La Unión,La Unión,POINT (-58.543376965417046 -34.870271288799486)
277,119,Universidad de Luján,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-59.08720391111079 -34.577450361829214)
278,210,Uribelarrea,"Roca , F.C.G.R.",,,,Cañuelas,Cañuelas,POINT (-58.89840083443176 -35.11542507625092)
279,216,Veinte de Junio,"Belgrano Sur , F.C.G.B.",,,,20 de Junio,20 de Junio,POINT (-58.737950557601444 -34.78025669337994)
280,52,Vicealmirante Montes,"Belgrano Norte , F.C.G.B.",,,,Don Torcuato,Don Torcuato,POINT (-58.62011022175169 -34.504123663698024)
281,3,Vicente Casares,"Roca , F.C.G.R.",,,,Cañuelas,Cañuelas,POINT (-58.64795066412325 -34.96225055526161)
282,265,Vicente López,"Mitre , F.C.G.B.M.",,,,Vicente López,Vicente López,POINT (-58.47276400064025 -34.5248387009881)
283,266,Victoria,"Mitre , F.C.G.B.M.",,,,Victoria,Victoria,POINT (-58.54046604344664 -34.45640768744954)
284,53,Villa Adelina,"Belgrano Norte , F.C.G.B.",,,,Villa Adelina,Villa Adelina,POINT (-58.54621392601971 -34.523730159393445)
285,71,Villa Astolfi,"San Martin , F.C.G.S.M.",,,,Pilar,Pilar,POINT (-58.876954142315604 -34.47866856733365)
286,279,Villa Ballester,"Mitre , F.C.G.B.M.",,,,General San Martín,General San Martín,POINT (-58.556046406304475 -34.55098731692484)
287,192,Villa Caraza,"Belgrano Sur , F.C.G.B.",,,,Lanús Oeste,Lanús Oeste,POINT (-58.42917869404012 -34.698027137082086)
288,55,Villa de Mayo,"Belgrano Norte , F.C.G.B.",,,,Villa de Mayo,Villa de Mayo,POINT (-58.68070401951349 -34.50337851304764)
289,191,Villa Diamante,"Belgrano Sur , F.C.G.B.",,,,Lanús Oeste,Lanús Oeste,POINT (-58.42833864912682 -34.68140511317664)
290,164,Villa Domínico,"Roca , F.C.G.R.",,,,Villa Domínico,Villa Domínico,POINT (-58.32543298899859 -34.69147003237294)
291,169,Villa Elisa,"Roca , F.C.G.R.",,,,Villa Elisa,Villa Elisa,POINT (-58.07515034042929 -34.849632100848154)
292,176,Villa España,"Roca , F.C.G.R.",,,,Villa España,Villa España,POINT (-58.19490245052368 -34.774351447485735)
293,127,Villa Madero,"Belgrano Sur , F.C.G.B.",,,,Villa Madero,Villa Madero,POINT (-58.492419445137315 -34.68407105486788)
294,54,Villa Rosa,"Belgrano Norte , F.C.G.B.",,,,Villa Rosa,Villa Rosa,POINT (-58.87151102322087 -34.41657559595767)
295,231,Villars,"Belgrano Sur , F.C.G.B.",,,,,,POINT (-58.93837703229719 -34.82893720074529)
296,267,Virreyes,"Mitre , F.C.G.B.M.",,,,Virreyes,Virreyes,POINT (-58.55071245417065 -34.450636768781706)
297,165,Wilde,"Roca , F.C.G.R.",,,,Wilde,Wilde,POINT (-58.31135197185844 -34.69751970590955)
298,73,William Morris,"San Martin , F.C.G.S.M.",,,,William C. Morris,William C. Morris,POINT (-58.656774323361645 -34.57835383904754)
299,238,Zamudio,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-58.8922326874134 -34.85790064871327)
300,209,Zapiola,"Sarmiento , F.C.D.F.S.",,,,,,POINT (-59.042025875153 -35.05841674314386)
301,294,Zelaya,"Mitre , F.C.G.B.M.",,,,Zelaya,Zelaya,POINT (-58.8692909866509 -34.3701245570181)
